Liste de GFXID
Pnjs:
GFXID	Description
1010	Personnage Modérateur, Gardiens des Kanojedo
Monstres:
<
Créer un site gratuit avec e-monsite - Signaler un contenu illicite sur ce site

ID	GFXID	Nom
31	1563	Larve Bleue
34	1568	Larve Verte
36	1566	Bouftou
37	1156	Craqueleur
39	1557	Lapino
40	1562	Sanglier
41	1020	Prespic
42	1180	La Surpuissante
43	1558	Tofu
44	1012	Bwork Mage
45	1018	Chaton
46	1567	Larve Orange
47	1001	Abraknyde
48	1569	Tournesol Sauvage
52	1564	Arakne
53	1012	Bwork Mage
54	1014	Chafer
55	1062	Gelée Bleue
56	1064	Gelée Menthe
57	1066	Gelée Fraise
58	1061	Gelée Royale Bleue
59	1565	Champ Champ
61	1572	Moskito
62	1007	Chevaucheur de Karne
63	1009	Crabe
64	1050	Wabbit
65	1051	Black Wabbit
68	1054	Black Tiwabbit
70	1509	Glutin boxeur
72	1055	Tiwabbit Kiafin
74	1004	Bwork Archer
75	1025	DragOeuf Doré immature
76	1032	DragOeuf Blanc
78	1561	Rose Démoniaque
79	1560	Pissenlit Diabolique
81	1041	Kwak du Vent
82	1026	DragOeuf Noir immature
83	1042	Kwak de Flamme
84	1043	Kwak de Glace
85	1063	Gelée Royale Menthe
86	1065	Gelée Royale Fraise
87	1029	DragOeuf Doré
88	1031	DragOeuf de Saphir
89	1030	DragOeuf Noir
90	1028	DragOeuf Blanc immature
91	1034	DragOeuf Noir Eveillé
93	1036	DragOeuf Blanc éveillé
94	1033	DragOeuf Doré éveillé
95	1035	DragOeuf de Saphir éveillé
96	1053	Tiwabbit
97	1052	Wo Wabbit
98	1558	Tofu
99	1056	Grand Pa Wabbit
100	1139	Fire Beule
101	1566	Bouftou
102	1069	Mulou
103	1020	Prespic
104	1562	Sanglier
106	1008	Craqueleur
107	1071	Dark Vlad
108	1068	Rib
110	1047	Chafer Invisible
111	1072	Tofu Maléfique
112	1067	Boo
113	1037	Dragon Cochon
114	1021	La Folle
115	1184	La Bloqueuse
116	1181	La Sacrifiée
117	1182	La Gonflable
118	1073	Mineur Sombre
119	1074	Forgeron Sombre
120	1558	Tofu lancé
121	1088	Minotoror
123	1060	Cochon de Lait
124	1078	Maître Vampire
125	1089	Paysan en Détresse
126	1084	Souris Grise
127	1077	Vampire
134	1570	Boufton Blanc
147	1574	Bouftou Royal
148	1573	Chef de Guerre Bouftou
149	1571	Boufton Noir
150	1080	Noeul
152	1185	La Fourbe
153	1075	Boulanger Sombre
154	1081	Kwoan
155	1095	Bandit du clan des Roublards
156	1078	Vampire Captif
157	1002	Araknelle
158	1096	Coquille Explosive
159	1107	Milimulou
160	1097	Dopeul Feca
161	1098	Dopeul Osamodas
162	1099	Dopeul Enutrof
163	1100	Dopeul Sram
164	1101	Dopeul Xelor
165	1102	Dopeul Ecaflip
166	1103	Dopeul Eniripsa
167	1104	Dopeul Iop
168	1105	Dopeul Crâ
169	1106	Dopeul Sadida
170	1027	DragOeuf de Saphir immature
171	1108	Dragodinde Amande Sauvage
173	1458	Abraknyde Ancestral
177	1083	Coffre Malveillant
178	1076	Gobelin
179	1057	Wabbit Squelette
180	1109	Wa Wabbit
181	1058	Wobot
182	1059	Wabbit Gm
194	1136	Scarafeuille Rouge
198	1135	Scarafeuille Bleu
200	1108	Dragodinde Rousse Sauvage
207	1079	Citwouille
208	1118	Tikokoko
209	1116	Kokoko
211	1115	Kanniboul Archer
212	1113	Kanniboul Thierry
213	1114	Kanniboul Jav
214	1112	Kanniboul Sarbak
215	1121	Trukikol
216	1122	Gloutovore
217	1119	Fourbasse
218	1120	NodKoko
220	1125	Tortue Rouge
221	1126	Tortue Bleue
222	1127	Tortue Verte
223	1128	Tortue Jaune
225	1130	Darkli Moon
226	1129	Moon
228	1133	Boomba
229	1132	Nakunbra
230	1124	Le Chouque
231	1123	Canon Dorf
232	1134	Meulou
233	1131	Trooll
235	1149	Kwak de Terre
236	1212	Piou Violet
237	1144	Sac Animé
238	1143	Pelle animée
239	1165	Dragonnet Rouge
240	1137	Scarafeuille Vert
241	1138	Scarafeuille Blanc
242	1145	Flammèche Feu
243	1146	Flammèche Eau
244	1147	Flammèche Terre
245	1148	Flammèche Air
246	1564	Arakne
248	1150	Brigandine
249	1153	Oni
250	1154	Aiguille
251	8003	Crocoburio
252	1083	Coffre au trésor
253	1158	Abraknyde Sombre
254	1001	Abraknyde Vénérable
255	1564	Arakne Agressive
256	1160	Tronknyde
257	1157	Chêne Mou
258	1164	Branche Invocatrice
259	1161	Arakne Majeure
260	1163	Branche Soignante
261	1159	Crocodaille
262	1014	Chaferfu
263	1162	Chef Crocodaille
264	1170	Cadran de Xélor
265	1166	Bwak de feu
266	1168	Bwak de terre
267	1169	Bwak d'air
268	1167	Bwak d'eau
269	1042	Kwakere de Flamme
270	1149	Kwakere de Terre
271	1043	Kwakere de Glace
272	1041	Kwakere de Vent
273	1174	Blop Coco
274	1171	Blop Indigo
275	1172	Blop Griotte
276	1173	Blop Reinette
277	1175	Biblop Indigo
278	1178	Biblop Coco
279	1176	Biblop Griotte
280	1177	Biblop Reinette
281	1179	Corbac
282	1183	Arbre
283	1200	Coeur du village Brigandin
284	1200	Coeur du village Brigandin
285	1083	Coffre Animé
286	1191	Tarche
287	1039	Kanigrou
288	1013	Serpentin
289	1186	Maître Corbac
290	1189	Chafer Lancier
291	1190	Chafer Archer
292	1048	Chafer d'élite
293	1049	Craqueleur des plaines
294	1086	Souris verte
295	1152	Méga Craqueleur
296	1192	Milicien
297	1070	Sanglier Des Plaines
298	1198	Scorbute
299	1201	Croc Gland
300	1085	Kolérat
301	1196	Ouginak
303	1105	Let Emoliug Le Ténébreux
304	1105	Let Emoliug Le Blanc
305	1104	Susej Le Pur
306	1104	Susej L'Impur
308	1099	Osurc L'Infâme
310	1099	Osurc Le Bienveillant
314	1191	Torche
337	1100	Nipul Le Sauveur
343	1038	Cavalier Porkass
344	1040	Berger Porkass
345	1102	Kirevam Le Déterminé
346	1102	Kirevam Le Terrifiant
